"P0",,,,,"P1",,,,"P2",,,
"Index [1]","X [mm]","Y [mm]","U [mm]","V [mm]","X [mm]","Y [mm]","U [mm]","V [mm]","X [mm]","Y [mm]","U [mm]","V [mm]"
160,3.48639,13.1489,0.230692,1.08473,3.5463,11.6245,0.169836,1.28275,,,,
161,3.48639,13.1489,0.228144,1.08746,3.5463,11.6245,0.167703,1.28673,,,,
162,,,,,3.5463,11.6245,0.165489,1.28961,,,,
163,,,,,3.5463,11.6245,0.165276,1.29316,,,,
164,3.48639,13.1489,0.224163,1.0963,3.5463,11.6245,0.16333,1.29803,,,,
165,3.48639,13.1489,0.222071,1.09985,3.5463,11.6245,0.161401,1.30279,,,,
166,3.48639,13.1489,0.222882,1.1036,3.5463,11.6245,0.161943,1.30737,,,,
167,,,,,3.5463,11.6245,0.160864,1.30972,,,,
168,3.48639,13.1489,0.22132,1.11055,3.5463,11.6245,0.160683,1.31587,,,,
169,3.48639,13.1489,0.220305,1.11367,3.5463,11.6245,0.159653,1.31987,,,,
170,3.48639,13.1489,0.220145,1.11214,3.5463,11.6245,0.159446,1.31917,,,,
171,,,,,3.5463,11.6245,0.15813,1.32505,,,,
172,3.48639,13.1489,0.217337,1.12123,3.5463,11.6245,0.157079,1.32965,,,,
173,3.48639,13.1489,0.216565,1.12395,3.5463,11.6245,0.156205,1.33304,,,,
174,,,,,3.5463,11.6245,0.155127,1.33394,,,,
175,3.48639,13.1489,0.214185,1.12217,3.5463,11.6245,0.153706,1.33303,,,,
176,3.48639,13.1489,0.213347,1.12323,3.5463,11.6245,0.152839,1.33457,,,,
177,3.48639,13.1489,0.212816,1.12291,3.5463,11.6245,0.152235,1.33512,,,,
178,,,,,3.5463,11.6245,0.152662,1.33512,,,,
179,3.48639,13.1489,0.211747,1.12288,3.5463,11.6245,0.151322,1.33638,,,,
180,3.48639,13.1489,0.211122,1.12386,3.5463,11.6245,0.150719,1.33863,,,,
181,3.48639,13.1489,0.210475,1.12687,3.5463,11.6245,0.14968,1.34212,,,,
182,3.48639,13.1489,0.213891,1.12524,3.5463,11.6245,0.153305,1.34117,,,,
183,3.48639,13.1489,0.21202,1.12892,3.5463,11.6245,0.15121,1.34609,,,,
184,3.48639,13.1489,0.212306,1.13187,3.5463,11.6245,0.151228,1.34999,,,,
185,3.48639,13.1489,0.215192,1.13528,3.5463,11.6245,0.154309,1.35453,,,,
186,3.48639,13.1489,0.209996,1.13647,3.5463,11.6245,0.148811,1.35664,,,,
187,3.48639,13.1489,0.211493,1.13726,3.5463,11.6245,0.150567,1.35841,,,,
188,3.48639,13.1489,0.21036,1.13669,3.5463,11.6245,0.149355,1.35942,,,,
189,3.48639,13.1489,0.209951,1.139,3.5463,11.6245,0.148652,1.36273,,,,
190,3.48639,13.1489,0.210852,1.13994,3.5463,11.6245,0.149635,1.36489,,,,
191,3.48639,13.1489,0.210848,1.14101,3.5463,11.6245,0.149659,1.36745,,,,
192,3.48639,13.1489,0.211133,1.14373,3.5463,11.6245,0.149539,1.37133,,,,
193,3.48639,13.1489,0.212819,1.14791,3.5463,11.6245,0.151021,1.3765,,,,
194,3.48639,13.1489,0.213129,1.15021,3.5463,11.6245,0.151491,1.37989,,,,
195,3.48639,13.1489,0.214898,1.15382,3.5463,11.6245,0.153539,1.38519,,,,
196,3.48639,13.1489,0.215738,1.15518,3.5463,11.6245,0.154028,1.38748,,,,
197,,,,,3.5463,11.6245,0.155307,1.39213,,,,
198,3.48639,13.1489,0.218391,1.16212,3.5463,11.6245,0.156439,1.39681,,,,
199,3.48639,13.1489,0.220472,1.16412,3.5463,11.6245,0.158169,1.40005,,,,
200,3.48639,13.1489,0.220636,1.16752,3.5463,11.6245,0.158491,1.40426,,,,
201,3.48639,13.1489,0.219408,1.1673,3.5463,11.6245,0.156928,1.40532,,,,
202,3.48639,13.1489,0.223728,1.17229,3.5463,11.6245,0.161524,1.41152,,,,
203,3.48639,13.1489,0.225852,1.17509,3.5463,11.6245,0.163346,1.41528,,,,
204,3.48639,13.1489,0.226036,1.17818,3.5463,11.6245,0.163773,1.41924,,,,
205,3.48639,13.1489,0.227437,1.18171,3.5463,11.6245,0.164834,1.42338,,,,
206,3.48639,13.1489,0.227546,1.18334,3.5463,11.6245,0.164999,1.42598,,,,
207,3.48639,13.1489,0.231061,1.1844,3.5463,11.6245,0.167477,1.42824,,,,
208,3.48639,13.1489,0.232145,1.18807,3.5463,11.6245,0.168434,1.43323,,,,
209,3.48639,13.1489,0.233726,1.19157,3.5463,11.6245,0.169837,1.43802,,,,
210,3.48639,13.1489,0.233489,1.19562,3.5463,11.6245,0.169377,1.44367,,,,
211,3.48639,13.1489,0.234145,1.19921,3.5463,11.6245,0.170001,1.4487,,,,
212,3.48639,13.1489,0.236816,1.20264,3.5463,11.6245,0.172313,1.45346,,,,
213,3.48639,13.1489,0.237458,1.20796,3.5463,11.6245,0.172571,1.46005,,,,
